20,40,46,28,6,8,8,8,6,6
32,8,20,8,8,6,6,6,6,6
6,6,12,6,24,6,6,6,8,6
46,46,8,6,10,6,6,6,6,6
38,62,50,10,6,6,6,6,6,6
8,70,6,42,6,16,6,6,6,6
28,60,96,32,10,10,8,6,6,6
56,16,10,42,6,6,6,8,6,6
112,20,6,10,12,8,6,6,6,6
16,144,30,6,6,6,6,6,6,6
38,20,8,16,6,6,8,6,6,6
6,32,56,6,6,6,6,6,6,6
32,24,8,28,6,6,8,6,6,6
10,6,102,6,8,6,6,6,6,6
180,78,6,6,6,6,6,6,6,6
8,12,58,28,6,6,6,6,6,8
42,26,18,6,6,8,6,6,6,6
74,36,10,6,6,8,6,6,6,6
26,50,22,10,6,12,6,6,6,8
10,12,26,10,6,6,8,6,6,6
68,70,26,12,6,6,6,6,6,6
22,58,12,6,14,6,6,6,6,6
24,6,68,6,20,6,6,6,6,6
56,6,10,6,6,6,6,8,6,6
8,8,12,12,6,6,6,6,6,6
46,10,14,8,6,6,6,6,6,6
84,20,16,14,6,8,6,6,6,6
6,98,18,6,6,8,6,6,8,6
44,10,30,18,8,8,6,6,6,6
34,18,12,6,10,10,6,6,6,6
44,8,74,8,6,6,6,6,6,6
10,38,24,18,6,6,6,6,6,6
164,44,6,8,16,6,6,6,8,6
10,28,58,28,14,6,6,6,6,6
88,56,8,58,10,6,6,8,6,6
18,30,10,12,8,8,6,6,6,6
14,14,24,6,10,6,8,6,6,6
118,6,36,12,6,8,6,6,6,6
106,14,24,16,10,14,6,6,6,6
12,6,20,38,6,6,6,6,6,6
42,6,36,16,6,6,6,6,6,6
8,16,28,8,6,12,6,8,6,6
16,152,14,30,6,6,6,8,6,6
84,8,10,22,26,8,6,8,6,6
248,8,20,8,6,6,6,6,6,6
50,38,12,6,34,6,6,6,6,6
72,22,10,20,14,10,8,6,6,6
166,136,18,46,6,8,6,6,6,6
58,12,24,14,12,6,6,6,6,6
26,42,10,18,6,6,6,6,6,8
100,84,8,20,6,6,6,8,6,6
198,10,12,46,6,6,6,6,6,6
20,40,36,6,10,6,6,6,6,6
94,86,6,10,14,6,6,6,6,6
118,16,60,10,6,6,6,6,6,6
104,8,26,10,6,6,6,6,6,6
40,62,10,12,6,6,6,6,6,6
8,62,14,14,10,8,6,6,8,6
58,52,6,12,8,6,6,6,6,6
22,146,18,30,6,8,6,6,6,6
52,8,90,6,22,8,6,6,6,10
26,26,10,14,6,10,6,6,6,6
106,36,6,8,12,10,6,6,6,6
8,8,14,36,6,8,6,6,6,6
62,14,8,6,6,6,6,6,6,6
20,12,10,6,14,8,6,8,6,6
130,12,30,6,22,6,6,6,6,6
26,26,14,22,12,6,6,6,6,6
46,18,22,6,8,6,6,6,6,6
42,10,6,10,8,8,6,6,6,6
46,16,6,10,20,8,6,6,6,6
12,52,8,24,10,8,6,6,6,8
22,10,16,32,6,6,6,6,6,6
56,48,12,24,8,12,6,6,6,6
40,78,20,70,8,6,6,6,8,6
132,10,12,8,8,8,6,6,6,6
14,46,14,6,10,12,6,6,6,6
140,18,20,6,14,10,6,6,6,6
392,24,6,36,14,6,6,8,6,6
20,18,6,6,10,10,6,8,6,6
62,68,26,10,6,6,6,6,6,8
124,22,88,24,10,6,6,10,6,6
368,32,26,6,10,6,6,6,6,6
136,164,14,12,6,6,6,6,6,6
32,18,30,10,12,6,6,6,6,6
136,8,14,20,8,6,6,8,8,6
374,6,6,6,8,6,6,6,6,6
12,102,16,14,8,8,6,6,6,6
12,12,58,16,6,6,6,6,6,6
26,6,8,6,6,6,6,6,6,6
10,92,12,6,18,8,6,6,6,6
10,6,50,8,10,6,6,6,6,6
12,10,104,8,14,14,6,8,6,6
44,136,8,12,6,6,6,6,6,6
110,16,82,20,12,6,8,6,6,6
14,8,8,8,6,6,6,6,6,6
136,22,88,16,14,8,6,6,6,6
88,14,48,8,10,6,6,6,6,6
6,30,6,26,8,6,6,6,6,6
12,6,6,14,6,8,6,6,6,6
