67,19,363,79,111,439,9,13,15,9,9,11,23
35,79,21,61,33,11,71,61,21,17,13,13,9
101,21,1000,47,137,89,19,9,17,15,21,9,9
31,219,239,53,35,11,55,39,23,13,11,11,11
13,43,401,251,59,23,15,27,9,9,11,13,9
555,59,29,431,21,19,43,25,9,13,17,11,9
231,145,139,301,95,9,19,29,13,33,13,9,11
235,207,143,53,15,57,13,23,35,9,17,11,13
491,233,79,43,21,89,13,31,33,17,9,9,11
57,147,257,49,121,47,37,45,9,9,9,11,17
391,279,77,43,43,133,21,59,9,9,9,9,9
97,185,33,107,13,31,15,71,13,13,13,13,9
39,39,309,21,99,21,75,25,23,9,19,9,9
845,27,27,33,35,43,15,25,9,19,9,15,11
317,33,23,43,131,137,23,23,9,15,15,13,11
9,211,25,59,11,15,55,9,17,41,11,15,9
527,135,171,97,145,55,17,9,23,9,9,9,13
59,39,363,69,83,29,19,57,9,25,33,9,9
53,39,17,153,179,35,49,9,13,29,9,15,13
193,485,65,15,59,99,45,29,27,17,13,9,9
213,599,21,63,27,75,19,37,23,9,17,9,17
685,15,27,103,143,161,9,15,13,11,13,9,11
243,19,505,29,29,57,11,15,9,25,11,11,13
511,59,203,213,151,39,9,17,19,13,9,11,11
39,77,81,97,71,31,21,31,11,11,29,15,9
141,35,59,75,11,11,23,27,19,19,13,9,9
247,33,55,51,35,77,19,27,11,23,13,9,13
231,53,57,37,41,37,11,9,13,15,21,9,11
17,407,81,29,11,53,27,21,15,37,15,9,11
211,169,675,37,11,33,41,23,29,11,13,9,11
55,109,183,15,29,39,11,9,31,15,13,19,9
325,111,21,63,13,35,19,35,17,17,21,17,11
183,97,53,37,15,11,11,57,9,9,9,9,11
25,603,65,145,57,181,81,9,27,13,9,9,11
383,387,415,69,95,25,57,79,21,17,9,9,9
253,545,71,99,195,57,43,9,27,47,21,15,9
393,111,493,245,77,53,41,31,29,17,11,9,9
49,757,83,29,75,31,9,35,11,15,13,9,9
207,131,27,43,21,37,11,27,11,9,9,9,9
183,569,59,35,203,39,13,13,13,9,19,9,9
815,193,291,11,145,19,91,17,21,9,21,9,9
353,165,171,23,41,33,61,23,19,11,11,11,9
19,167,131,11,121,51,33,17,11,21,9,11,15
13,9,85,35,65,63,63,9,9,11,9,9,9
39,1000,311,59,23,35,31,9,33,11,9,9,9
13,339,193,209,19,75,35,33,17,33,9,11,9
147,63,207,225,65,11,13,103,23,35,11,11,9
361,397,23,41,197,27,27,49,9,17,9,11,11
131,129,271,113,15,33,27,19,15,45,21,9,11
57,253,9,139,173,69,13,41,9,13,11,9,13
611,29,25,29,35,43,11,9,17,9,15,17,13
11,635,199,135,77,17,63,53,15,21,11,13,13
113,17,23,71,15,55,35,9,9,17,21,11,15
105,21,157,75,77,9,27,11,41,19,17,11,11
433,155,15,75,131,9,11,33,11,11,9,9,13
581,91,43,193,29,111,47,15,19,13,9,13,9
575,167,39,23,11,107,27,55,9,9,17,9,9
115,73,333,441,47,105,15,37,23,19,13,11,11
157,45,647,9,155,77,29,67,75,11,11,15,11
21,211,19,143,89,67,11,25,29,13,27,11,13
505,465,25,125,9,41,77,9,35,21,13,13,9
395,279,237,13,63,21,21,89,15,15,13,17,13
193,109,115,11,25,67,49,11,11,9,17,9,11
297,39,65,47,17,31,51,19,13,9,9,13,13
401,35,415,15,9,31,15,31,11,15,11,13,9
111,37,249,81,17,57,9,43,9,19,9,11,13
85,161,91,121,65,9,53,19,17,11,9,13,9
993,101,37,95,27,23,31,19,27,21,13,13,11
983,65,55,23,95,9,35,39,11,13,11,9,15
111,119,81,277,51,45,55,53,23,9,11,11,15
509,303,97,113,211,99,49,27,35,15,11,11,21
71,499,17,17,21,13,29,13,11,9,11,9,11
17,79,85,25,103,51,61,13,37,47,9,13,9
9,853,71,39,13,45,15,43,9,11,15,11,15
185,111,291,69,163,109,15,39,9,19,9,9,9
279,75,235,147,119,71,11,9,15,31,17,9,15
59,307,349,341,15,33,183,41,15,31,49,19,9
41,393,101,331,123,11,55,17,39,17,9,11,9
145,25,17,129,65,61,27,9,9,11,39,9,15
297,75,285,17,105,25,15,71,9,13,13,9,11
15,133,49,433,175,73,83,39,21,9,9,11,11
19,731,25,53,71,141,59,47,29,9,11,15,9
157,201,25,181,91,15,45,13,13,15,15,23,9
159,39,55,103,11,15,119,55,55,15,45,9,23
135,23,27,123,173,17,33,11,53,17,13,9,9
301,109,213,37,21,41,9,11,35,19,13,9,11
585,17,55,87,23,69,141,9,33,11,9,13,11
59,235,169,473,35,53,13,37,29,9,23,9,9
147,257,85,167,255,13,15,31,29,9,9,11,9
769,191,63,17,63,9,49,13,11,13,11,13,9
185,275,103,33,23,49,47,115,29,9,17,9,9
87,67,31,87,49,13,135,11,33,9,9,15,9
115,131,43,187,55,179,15,11,11,9,11,13,27
11,45,109,197,69,21,13,15,11,9,23,13,13
955,459,275,81,103,141,25,11,13,9,11,9,9
791,253,27,287,79,69,121,15,15,11,19,13,9
659,121,45,31,15,9,19,11,19,11,19,11,11
115,553,145,361,43,15,17,65,9,23,9,9,11
27,619,189,17,31,67,11,15,13,15,11,9,11
407,15,53,41,179,57,11,39,11,9,33,11,9
