80,38,6,6,6,6,6,10,10,6
8,6,90,18,10,10,6,6,12,8
54,56,6,10,20,8,8,10,6,8
50,16,40,62,46,6,6,14,6,10
214,110,18,8,6,6,6,6,6,12
60,6,8,18,14,8,6,6,6,6
20,78,16,8,22,6,6,6,8,8
12,44,38,62,6,6,6,10,6,6
18,40,40,18,12,8,6,6,8,10
140,14,12,54,6,8,8,8,6,6
184,24,6,28,8,6,6,10,8,16
60,32,10,8,14,6,8,6,8,6
24,84,8,6,12,8,12,6,6,6
204,10,54,16,8,8,6,6,6,10
358,364,38,24,28,6,8,8,8,6
10,256,14,8,6,10,8,6,10,10
136,20,142,28,8,8,8,10,10,6
238,34,10,20,16,6,8,6,6,6
16,8,102,8,6,8,10,6,22,6
292,12,10,8,6,6,8,6,10,6
80,6,24,6,20,8,6,6,18,8
28,42,52,8,32,6,10,6,10,6
16,6,6,8,28,10,6,8,6,6
32,82,206,10,6,12,14,8,10,12
46,6,30,14,6,6,8,14,14,8
30,66,14,54,6,10,8,6,6,6
20,14,40,8,8,6,12,8,14,10
30,26,10,10,10,8,6,6,6,8
8,16,12,8,6,10,6,12,6,8
14,12,6,30,12,10,10,10,8,8
478,10,12,26,14,6,6,8,6,14
114,28,6,22,6,8,6,6,6,12
30,8,56,12,8,8,10,6,12,6
46,24,104,70,28,12,8,12,10,6
70,74,34,6,6,10,6,8,6,6
734,16,122,6,6,6,6,6,8,10
16,122,6,6,10,8,6,16,6,6
34,210,18,38,8,6,10,10,8,14
14,6,60,6,10,8,6,8,6,8
52,8,12,8,6,6,6,8,6,6
14,278,48,38,10,8,14,10,6,6
20,28,16,14,8,6,12,8,10,6
24,40,6,18,6,6,6,16,6,8
20,8,48,16,6,10,8,10,12,8
38,8,8,6,6,6,8,8,6,6
102,30,96,8,6,6,6,8,6,10
242,12,94,8,16,12,8,8,6,8
568,10,18,8,16,8,10,8,6,6
10,6,12,8,8,6,6,10,6,8
8,18,66,8,10,12,8,6,8,6
242,248,12,6,6,6,8,6,6,8
12,16,30,6,14,6,8,6,16,8
94,22,16,20,8,8,8,8,6,6
118,68,6,10,6,8,8,8,8,6
10,22,6,8,18,8,6,6,16,10
24,80,78,8,6,10,6,8,14,8
10,10,38,28,6,6,8,10,6,12
86,64,104,8,10,10,10,6,10,8
16,74,6,12,6,10,8,8,10,14
16,12,20,6,6,12,8,10,8,6
14,136,78,10,16,6,6,6,8,10
14,12,8,6,6,6,6,6,8,8
8,156,16,10,6,10,6,10,6,10
10,20,10,6,16,8,6,8,8,6
20,18,102,30,18,8,8,8,8,12
416,6,22,16,6,12,6,6,10,6
62,52,22,8,6,10,6,8,14,8
80,8,14,6,6,14,10,6,6,6
24,70,10,8,6,8,8,6,8,16
260,32,6,6,6,10,10,18,6,6
32,30,14,64,6,6,6,8,8,18
112,6,6,20,6,6,6,10,14,12
20,156,10,6,6,12,6,8,8,6
66,54,6,76,8,8,6,8,6,10
28,10,8,10,12,6,8,8,8,6
356,16,16,22,18,12,8,8,6,10
92,60,36,8,6,10,6,10,12,8
58,8,72,30,6,8,10,8,6,14
110,6,116,6,32,12,10,10,8,8
282,136,6,12,12,6,8,10,6,6
118,48,6,42,24,8,6,6,6,8
6,224,8,6,6,6,8,6,8,10
154,38,6,6,12,8,8,16,8,6
42,48,10,14,6,6,12,10,12,10
118,24,60,52,8,6,10,8,10,6
32,30,82,24,28,10,6,10,12,8
224,18,36,6,6,10,8,6,12,12
156,88,72,24,14,10,6,8,6,10
18,132,8,12,12,8,8,6,6,8
252,74,72,14,6,6,6,8,10,6
16,46,8,10,10,12,8,8,8,6
10,44,96,6,14,6,6,8,6,8
40,28,40,36,38,6,6,8,8,8
152,12,6,38,22,6,6,10,8,10
24,14,26,8,16,6,6,12,6,8
30,6,8,6,30,6,10,6,14,8
210,24,154,18,6,6,6,6,6,16
62,18,6,8,8,6,6,8,18,10
72,6,104,18,8,6,6,8,12,20
18,10,10,8,8,12,12,8,10,8
