57,23,17,13,75,55,45,9,11,11,11,15,9
345,47,79,43,15,81,19,9,11,11,15,9,19
313,185,39,23,51,31,11,13,19,9,19,9,9
67,197,135,11,113,77,33,27,41,17,11,13,11
115,115,113,91,73,21,11,17,9,9,9,13,9
69,21,665,235,11,37,17,53,9,13,15,11,19
795,29,103,17,57,105,11,105,9,9,9,9,11
69,61,23,145,77,25,9,27,9,15,13,11,9
491,685,359,129,101,27,59,9,9,11,9,9,9
37,47,27,69,39,11,73,9,9,9,9,13,23
495,137,9,275,13,15,33,45,13,9,11,9,11
151,471,77,105,57,53,13,11,11,19,9,11,17
97,57,259,47,111,35,105,53,11,9,9,15,9
91,295,27,155,77,25,11,13,9,11,9,13,17
95,41,113,15,19,57,51,31,11,13,13,13,11
97,191,281,205,27,9,41,9,41,9,9,19,15
471,57,17,83,165,9,15,13,55,13,9,11,11
309,47,21,157,17,17,9,89,9,11,9,13,9
799,615,137,201,141,103,169,11,11,11,13,9,15
145,679,87,47,153,11,121,33,9,11,19,17,13
25,53,37,147,115,133,31,33,25,11,9,13,11
13,23,611,23,161,43,11,39,35,9,15,15,9
23,161,255,353,65,39,11,11,15,13,9,11,21
13,205,15,105,43,9,19,13,17,9,9,9,11
223,511,21,111,77,101,77,13,11,13,13,9,9
115,345,191,153,95,89,17,9,15,11,11,15,11
41,439,357,215,59,63,111,75,15,9,11,17,9
481,95,45,111,23,163,33,43,15,15,9,9,13
201,163,65,33,101,9,11,9,57,15,11,13,9
763,37,37,21,33,41,15,17,17,23,19,9,19
127,357,111,29,161,129,11,27,33,15,29,11,11
83,67,485,293,523,21,139,9,9,9,9,11,13
35,53,91,21,15,35,13,17,9,9,11,17,19
201,147,121,43,19,29,15,23,9,13,9,9,25
43,223,21,71,11,29,9,11,11,9,9,11,17
689,121,159,99,37,27,11,21,41,11,9,13,17
53,137,79,37,195,69,19,21,9,13,11,9,13
83,159,47,21,9,47,53,13,21,11,11,13,9
437,235,71,221,209,79,109,11,9,23,17,11,11
429,37,29,85,151,261,11,9,13,15,11,9,11
597,51,359,11,53,41,11,11,11,15,11,15,11
581,101,111,19,131,25,23,43,9,9,9,9,15
229,37,51,337,17,163,53,21,11,9,11,9,15
639,81,25,43,63,113,51,21,11,9,9,13,11
51,363,55,11,59,225,9,15,29,15,9,13,13
89,161,23,57,19,15,11,11,19,9,11,11,19
75,333,251,347,207,19,49,9,9,9,9,11,13
173,187,31,9,335,119,15,9,13,11,19,11,15
243,87,31,47,147,15,33,33,45,11,9,9,11
261,95,63,141,83,45,11,33,13,11,11,9,11
313,175,187,39,65,125,87,133,9,11,9,21,11
391,109,33,27,73,19,19,9,9,9,11,9,21
39,129,85,489,89,21,61,87,15,11,11,9,9
105,55,25,277,131,33,79,13,13,15,13,11,9
227,315,307,107,87,31,17,79,11,9,9,9,11
37,71,205,169,131,129,169,65,9,13,9,15,15
305,63,207,39,81,87,63,41,81,9,9,15,11
237,417,403,13,49,29,53,11,15,9,9,13,9
59,25,209,47,89,35,21,11,13,13,15,9,9
251,155,255,37,59,17,13,49,73,15,19,13,9
77,35,85,23,43,9,41,9,15,11,9,13,11
419,55,31,25,21,9,71,57,13,9,11,15,11
27,45,11,103,15,121,35,39,9,11,11,9,9
27,31,43,15,79,43,11,91,11,9,11,9,17
15,153,73,101,17,109,19,11,9,9,9,11,9
75,153,69,17,155,45,31,19,9,13,11,21,15
333,153,51,13,131,21,27,55,23,11,9,11,9
169,837,239,53,149,15,11,11,13,13,11,17,9
485,119,245,31,15,51,9,17,11,9,9,11,13
33,159,161,55,451,11,11,9,15,9,21,15,11
73,273,35,13,101,17,25,13,13,11,11,9,13
875,373,181,263,33,39,27,17,39,9,11,9,9
51,57,283,63,145,17,11,35,15,9,13,11,11
553,709,325,73,243,23,29,11,25,9,9,15,9
565,729,129,81,95,19,15,11,35,9,15,9,9
53,57,199,43,213,9,11,57,13,9,9,17,11
323,175,31,647,109,43,57,21,45,9,9,9,9
133,95,85,201,67,55,21,11,9,9,11,9,17
545,237,31,153,57,157,13,13,11,9,13,13,9
45,75,157,121,19,17,15,21,9,9,23,11,15
131,319,47,85,11,71,21,63,9,9,9,11,11
383,133,11,245,11,47,11,53,21,13,15,9,11
373,239,43,67,23,117,9,81,13,11,9,9,11
57,329,81,207,27,103,9,19,13,9,9,11,13
913,39,161,27,43,41,19,13,9,11,9,9,15
867,209,43,177,25,31,11,17,11,13,11,15,13
31,253,269,51,37,59,17,9,135,11,9,11,13
295,253,33,29,187,17,9,13,9,13,17,11,31
37,237,61,11,75,129,53,11,43,11,9,9,19
783,47,103,19,49,15,25,11,17,9,9,17,11
113,523,247,35,69,179,57,39,13,9,9,9,9
131,175,47,57,49,89,35,37,17,13,9,13,11
47,157,71,127,79,13,107,21,11,11,11,15,9
891,43,59,323,41,49,11,53,13,9,11,9,15
461,39,217,105,155,21,43,37,11,15,9,9,11
291,213,123,65,317,9,139,11,15,9,11,9,13
29,563,25,43,199,59,111,25,11,9,11,9,11
11,105,143,83,137,109,15,13,13,17,11,11,9
241,393,257,29,71,55,11,11,9,13,9,13,17
691,283,45,163,17,17,27,39,17,13,9,9,23
